status.of.existing.checking.account,duration.in.month,credit.history,purpose,credit.amount,savings.account.and.bonds,present.employment.since,installment.rate.in.percentage.of.disposable.income,personal.status.and.sex,other.debtors.or.guarantors,present.residence.since,property,age.in.years,other.installment.plans,name,last.consume.date,housing,number.of.existing.credits.at.this.bank,job,number.of.people.being.liable.to.provide.maintenance.for,telephone,foreign.worker,creditability
no checking account,12,critical account/ other credits existing (not at this bank),education,2748,... < 100 DM,... >= 7 years,2,female : divorced/separated/married,none,4,unknown / no property,57,bank,l73222,2018/4/30,for free,3,unskilled - resident,1,none,yes,0
no checking account,10,critical account/ other credits existing (not at this bank),car (new),1231,... < 100 DM,... >= 7 years,3,female : divorced/separated/married,none,4,real estate,32,none,p58909,2018/3/28,own,2,unskilled - resident,2,none,no,0
0 <= ... < 200 DM,15,existing credits paid back duly till now,radio/television,802,... < 100 DM,... >= 7 years,4,female : divorced/separated/married,none,3,"car or other, not in attribute Savings account/bonds",37,none,M30440,2018/7/26,own,1,skilled employee / official,2,none,yes,1
no checking account,36,critical account/ other credits existing (not at this bank),business,6304,unknown/ no savings account,... >= 7 years,4,female : divorced/separated/married,none,4,real estate,36,none,T13517,2018/11/13,own,2,skilled employee / official,1,none,yes,0
no checking account,24,existing credits paid back duly till now,radio/television,1533,... < 100 DM,... < 1 year,4,female : divorced/separated/married,none,3,"car or other, not in attribute Savings account/bonds",38,stores,K96745,2018/9/24,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,0
... < 0 DM,14,existing credits paid back duly till now,car (new),8978,... < 100 DM,... >= 7 years,1,female : divorced/separated/married,none,4,building society savings agreement/ life insurance,45,none,G51659,2018/10/26,own,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",no,1
no checking account,24,existing credits paid back duly till now,radio/television,999,unknown/ no savings account,... >= 7 years,4,female : divorced/separated/married,none,2,"car or other, not in attribute Savings account/bonds",25,none,l20781,2018/2/19,own,2,skilled employee / official,1,none,yes,0
no checking account,18,existing credits paid back duly till now,car (new),2662,unknown/ no savings account,4 <= ... < 7 years,4,female : divorced/separated/married,none,3,building society savings agreement/ life insurance,32,none,Q69735,2018/10/17,own,1,skilled employee / official,1,none,no,0
no checking account,12,critical account/ other credits existing (not at this bank),furniture/equipment,1402,500 <= ... < 1000 DM,4 <= ... < 7 years,3,female : divorced/separated/married,none,4,"car or other, not in attribute Savings account/bonds",37,none,D78616,2018/3/3,rent,1,skilled employee / official,1,"yes, registered under the customers name",yes,0
0 <= ... < 200 DM,48,all credits at this bank paid back duly,car (new),12169,unknown/ no savings account,unemployed,4,female : divorced/separated/married,co-applicant,4,unknown / no property,36,none,T61975,2018/4/20,for free,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,0
0 <= ... < 200 DM,48,existing credits paid back duly till now,radio/television,3060,... < 100 DM,4 <= ... < 7 years,4,female : divorced/separated/married,none,4,real estate,28,none,p26201,2018/7/18,own,2,skilled employee / official,1,none,yes,1
... < 0 DM,30,existing credits paid back duly till now,repairs,11998,... < 100 DM,... < 1 year,1,female : divorced/separated/married,none,1,unknown / no property,34,none,B87279,2018/11/18,own,1,unskilled - resident,1,"yes, registered under the customers name",yes,1
no checking account,9,existing credits paid back duly till now,radio/television,2697,... < 100 DM,1 <= ... < 4 years,1,female : divorced/separated/married,none,2,real estate,32,none,L53191,2018/2/22,own,1,skilled employee / official,2,none,yes,0
no checking account,18,critical account/ other credits existing (not at this bank),radio/television,2404,... < 100 DM,1 <= ... < 4 years,2,female : divorced/separated/married,none,2,"car or other, not in attribute Savings account/bonds",26,none,W18998,2018/11/24,own,2,skilled employee / official,1,none,yes,0
... < 0 DM,12,existing credits paid back duly till now,furniture/equipment,1262,unknown/ no savings account,... >= 7 years,2,female : divorced/separated/married,none,4,building society savings agreement/ life insurance,49,none,B29666,2018/6/24,own,1,unskilled - resident,1,"yes, registered under the customers name",yes,0
no checking account,6,existing credits paid back duly till now,furniture/equipment,4611,... < 100 DM,... < 1 year,1,female : divorced/separated/married,none,4,building society savings agreement/ life insurance,32,none,P13184,2018/10/1,own,1,skilled employee / official,1,none,yes,1
no checking account,24,existing credits paid back duly till now,radio/television,1901,100 <= ... < 500 DM,1 <= ... < 4 years,4,female : divorced/separated/married,none,4,"car or other, not in attribute Savings account/bonds",29,none,u44284,2018/12/16,rent,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,0
no checking account,15,critical account/ other credits existing (not at this bank),car (used),3368,... >= 1000 DM,... >= 7 years,3,female : divorced/separated/married,none,4,unknown / no property,23,none,O49081,2018/10/29,rent,2,skilled employee / official,1,"yes, registered under the customers name",yes,0
no checking account,12,existing credits paid back duly till now,furniture/equipment,1574,... < 100 DM,1 <= ... < 4 years,4,female : divorced/separated/married,none,2,real estate,50,none,j14082,2018/1/28,own,1,skilled employee / official,1,none,yes,0
... >= 200 DM / salary assignments for at least 1 year,18,all credits at this bank paid back duly,radio/television,1445,unknown/ no savings account,4 <= ... < 7 years,4,female : divorced/separated/married,none,4,"car or other, not in attribute Savings account/bonds",49,bank,i80459,2018/7/17,own,1,unskilled - resident,1,none,yes,0
no checking account,15,critical account/ other credits existing (not at this bank),furniture/equipment,1520,unknown/ no savings account,... >= 7 years,4,female : divorced/separated/married,none,4,building society savings agreement/ life insurance,63,none,g50330,2018/1/9,own,1,skilled employee / official,1,none,yes,0
0 <= ... < 200 DM,24,critical account/ other credits existing (not at this bank),car (new),3878,100 <= ... < 500 DM,... < 1 year,4,female : divorced/separated/married,none,2,"car or other, not in attribute Savings account/bonds",37,none,v81014,2018/4/12,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,0
... < 0 DM,47,existing credits paid back duly till now,car (new),10722,... < 100 DM,... < 1 year,1,female : divorced/separated/married,none,1,real estate,35,none,x57143,2018/6/26,own,1,unskilled - resident,1,"yes, registered under the customers name",yes,0
... < 0 DM,48,existing credits paid back duly till now,car (used),4788,... < 100 DM,4 <= ... < 7 years,4,female : divorced/separated/married,none,3,building society savings agreement/ life insurance,26,none,o31758,2018/2/28,own,1,skilled employee / official,2,none,yes,0
0 <= ... < 200 DM,48,delay in paying off in the past,others,7582,100 <= ... < 500 DM,unemployed,2,female : divorced/separated/married,none,4,unknown / no property,31,none,E64423,2018/10/30,for free,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,0
0 <= ... < 200 DM,12,existing credits paid back duly till now,radio/television,1092,... < 100 DM,1 <= ... < 4 years,4,female : divorced/separated/married,guarantor,4,real estate,49,none,B45768,2018/6/13,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,0
... < 0 DM,24,delay in paying off in the past,radio/television,1024,... < 100 DM,... < 1 year,4,female : divorced/separated/married,none,4,real estate,48,stores,k92329,2018/1/4,own,1,skilled employee / official,1,none,yes,1
no checking account,12,existing credits paid back duly till now,business,1076,... < 100 DM,1 <= ... < 4 years,2,female : divorced/separated/married,none,2,real estate,26,none,Q52362,2018/9/7,own,1,skilled employee / official,1,"yes, registered under the customers name",no,0
0 <= ... < 200 DM,36,existing credits paid back duly till now,car (used),9398,... < 100 DM,... < 1 year,1,female : divorced/separated/married,none,4,"car or other, not in attribute Savings account/bonds",28,none,H66516,2018/8/4,rent,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,1
... < 0 DM,24,critical account/ other credits existing (not at this bank),car (used),6419,... < 100 DM,... >= 7 years,2,female : divorced/separated/married,none,4,unknown / no property,44,none,I53199,2018/3/20,for free,2,management/ self-employed/ highly qualified employee/ officer,2,"yes, registered under the customers name",yes,0
... >= 200 DM / salary assignments for at least 1 year,42,critical account/ other credits existing (not at this bank),car (used),4796,... < 100 DM,... >= 7 years,4,female : divorced/separated/married,none,4,unknown / no property,56,none,W75038,2018/3/21,for free,1,skilled employee / official,1,none,yes,0
no checking account,48,critical account/ other credits existing (not at this bank),business,7629,unknown/ no savings account,... >= 7 years,4,female : divorced/separated/married,none,2,"car or other, not in attribute Savings account/bonds",46,bank,x82562,2018/6/24,own,2,management/ self-employed/ highly qualified employee/ officer,2,none,yes,0
0 <= ... < 200 DM,48,existing credits paid back duly till now,furniture/equipment,9960,... < 100 DM,... < 1 year,1,female : divorced/separated/married,none,2,"car or other, not in attribute Savings account/bonds",26,none,t36257,2018/5/7,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,1
no checking account,12,existing credits paid back duly till now,car (used),4675,unknown/ no savings account,... < 1 year,1,female : divorced/separated/married,none,4,"car or other, not in attribute Savings account/bonds",20,none,T11727,2018/10/1,rent,1,skilled employee / official,1,none,yes,0
no checking account,10,existing credits paid back duly till now,car (new),1287,unknown/ no savings account,... >= 7 years,4,female : divorced/separated/married,co-applicant,2,building society savings agreement/ life insurance,45,none,x17232,2018/6/10,own,1,unskilled - resident,1,none,no,0
no checking account,18,existing credits paid back duly till now,furniture/equipment,2515,... < 100 DM,1 <= ... < 4 years,3,female : divorced/separated/married,none,4,real estate,43,none,d43487,2018/8/13,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,0
0 <= ... < 200 DM,21,critical account/ other credits existing (not at this bank),furniture/equipment,2745,... >= 1000 DM,4 <= ... < 7 years,3,female : divorced/separated/married,none,2,"car or other, not in attribute Savings account/bonds",32,none,v79829,2018/7/19,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,0
no checking account,6,existing credits paid back duly till now,car (new),672,... < 100 DM,unemployed,1,female : divorced/separated/married,none,4,real estate,54,none,B86837,2018/7/11,own,1,unemployed/ unskilled - non-resident,1,"yes, registered under the customers name",yes,0
0 <= ... < 200 DM,36,no credits taken/ all credits paid back duly,radio/television,3804,... < 100 DM,1 <= ... < 4 years,4,female : divorced/separated/married,none,1,"car or other, not in attribute Savings account/bonds",42,none,x98567,2018/10/15,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,1
... >= 200 DM / salary assignments for at least 1 year,24,critical account/ other credits existing (not at this bank),car (new),1344,unknown/ no savings account,4 <= ... < 7 years,4,female : divorced/separated/married,none,2,real estate,37,bank,u74496,2018/9/22,own,2,unskilled - resident,2,none,yes,1
... < 0 DM,10,critical account/ other credits existing (not at this bank),car (new),1038,... < 100 DM,4 <= ... < 7 years,4,female : divorced/separated/married,co-applicant,3,building society savings agreement/ life insurance,49,none,p41272,2018/3/17,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,0
no checking account,48,critical account/ other credits existing (not at this bank),car (new),10127,500 <= ... < 1000 DM,1 <= ... < 4 years,2,female : divorced/separated/married,none,2,unknown / no property,44,bank,Y64123,2018/10/24,for free,1,skilled employee / official,1,none,yes,1
no checking account,6,existing credits paid back duly till now,furniture/equipment,1543,... >= 1000 DM,1 <= ... < 4 years,4,female : divorced/separated/married,none,2,real estate,33,none,K43390,2018/8/4,own,1,skilled employee / official,1,none,yes,0
no checking account,30,existing credits paid back duly till now,car (used),4811,unknown/ no savings account,4 <= ... < 7 years,2,female : divorced/separated/married,none,4,building society savings agreement/ life insurance,24,stores,M75530,2018/5/12,rent,1,unskilled - resident,1,none,yes,0
... < 0 DM,12,existing credits paid back duly till now,radio/television,727,100 <= ... < 500 DM,... < 1 year,4,female : divorced/separated/married,none,3,unknown / no property,33,none,R58536,2018/6/29,own,1,unskilled - resident,1,"yes, registered under the customers name",yes,1
0 <= ... < 200 DM,8,existing credits paid back duly till now,furniture/equipment,1237,... < 100 DM,1 <= ... < 4 years,3,female : divorced/separated/married,none,4,real estate,24,none,T88130,2018/1/15,own,1,skilled employee / official,1,none,yes,1
0 <= ... < 200 DM,9,existing credits paid back duly till now,car (new),276,... < 100 DM,1 <= ... < 4 years,4,female : divorced/separated/married,none,4,real estate,22,none,E92007,2018/11/14,rent,1,unskilled - resident,1,none,yes,0
0 <= ... < 200 DM,48,existing credits paid back duly till now,others,5381,unknown/ no savings account,unemployed,3,female : divorced/separated/married,none,4,unknown / no property,40,bank,y80079,2018/4/12,for free,1,unemployed/ unskilled - non-resident,1,"yes, registered under the customers name",yes,0
no checking account,24,existing credits paid back duly till now,furniture/equipment,5511,100 <= ... < 500 DM,1 <= ... < 4 years,4,female : divorced/separated/married,none,1,"car or other, not in attribute Savings account/bonds",25,stores,B80264,2018/6/30,own,1,skilled employee / official,1,none,yes,0
... >= 200 DM / salary assignments for at least 1 year,24,existing credits paid back duly till now,furniture/equipment,3749,... < 100 DM,... < 1 year,2,female : divorced/separated/married,none,4,"car or other, not in attribute Savings account/bonds",26,none,a21393,2018/9/24,own,1,skilled employee / official,1,none,yes,0
0 <= ... < 200 DM,12,existing credits paid back duly till now,car (new),685,... < 100 DM,4 <= ... < 7 years,2,female : divorced/separated/married,none,3,"car or other, not in attribute Savings account/bonds",25,bank,n96431,2018/1/26,own,1,unskilled - resident,1,none,yes,1
... >= 200 DM / salary assignments for at least 1 year,4,existing credits paid back duly till now,car (new),1494,unknown/ no savings account,... < 1 year,1,female : divorced/separated/married,none,2,real estate,29,none,q61928,2018/8/2,own,1,unskilled - resident,2,none,no,0
... < 0 DM,36,all credits at this bank paid back duly,furniture/equipment,2746,... < 100 DM,... >= 7 years,4,female : divorced/separated/married,none,4,"car or other, not in attribute Savings account/bonds",31,bank,r17221,2018/10/17,own,1,skilled employee / official,1,none,yes,1
... < 0 DM,12,existing credits paid back duly till now,furniture/equipment,708,... < 100 DM,1 <= ... < 4 years,2,female : divorced/separated/married,guarantor,3,building society savings agreement/ life insurance,38,none,k32988,2018/3/19,own,1,unskilled - resident,2,none,yes,0
0 <= ... < 200 DM,24,existing credits paid back duly till now,furniture/equipment,4351,unknown/ no savings account,1 <= ... < 4 years,1,female : divorced/separated/married,none,4,building society savings agreement/ life insurance,48,none,w88678,2018/10/28,own,1,unskilled - resident,1,"yes, registered under the customers name",yes,0
no checking account,12,critical account/ other credits existing (not at this bank),education,701,... < 100 DM,1 <= ... < 4 years,4,female : divorced/separated/married,none,2,"car or other, not in attribute Savings account/bonds",32,none,N66451,2018/5/7,own,2,skilled employee / official,1,none,yes,0
... < 0 DM,15,delay in paying off in the past,furniture/equipment,3643,... < 100 DM,... >= 7 years,1,female : divorced/separated/married,none,4,building society savings agreement/ life insurance,27,none,G96386,2018/3/20,own,2,unskilled - resident,1,none,yes,0
0 <= ... < 200 DM,30,critical account/ other credits existing (not at this bank),car (new),4249,... < 100 DM,unemployed,4,female : divorced/separated/married,none,2,"car or other, not in attribute Savings account/bonds",28,none,g39662,2018/4/20,own,2,management/ self-employed/ highly qualified employee/ officer,1,none,yes,1
... < 0 DM,24,existing credits paid back duly till now,radio/television,1938,... < 100 DM,... < 1 year,4,female : divorced/separated/married,none,3,building society savings agreement/ life insurance,32,none,v41462,2018/2/21,own,1,skilled employee / official,1,none,yes,1
... < 0 DM,24,existing credits paid back duly till now,car (used),2910,... < 100 DM,4 <= ... < 7 years,2,female : divorced/separated/married,none,1,unknown / no property,34,none,W23380,2018/4/11,for free,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,0
... < 0 DM,18,existing credits paid back duly till now,furniture/equipment,2659,... >= 1000 DM,1 <= ... < 4 years,4,female : divorced/separated/married,none,2,"car or other, not in attribute Savings account/bonds",28,none,i15899,2018/4/26,own,1,skilled employee / official,1,none,yes,0
no checking account,18,critical account/ other credits existing (not at this bank),car (new),1028,... < 100 DM,1 <= ... < 4 years,4,female : divorced/separated/married,none,3,real estate,36,none,f13500,2018/12/26,own,2,skilled employee / official,1,none,yes,0
... < 0 DM,8,critical account/ other credits existing (not at this bank),car (new),3398,... < 100 DM,4 <= ... < 7 years,1,female : divorced/separated/married,none,4,real estate,39,none,j81898,2018/7/20,own,2,unskilled - resident,1,none,no,0
no checking account,12,critical account/ other credits existing (not at this bank),furniture/equipment,5801,unknown/ no savings account,... >= 7 years,2,female : divorced/separated/married,none,4,building society savings agreement/ life insurance,49,none,b93670,2018/1/14,rent,1,skilled employee / official,1,"yes, registered under the customers name",yes,0
no checking account,24,existing credits paid back duly till now,car (new),1525,... >= 1000 DM,4 <= ... < 7 years,4,female : divorced/separated/married,none,3,"car or other, not in attribute Savings account/bonds",34,none,g64226,2018/2/28,own,1,skilled employee / official,2,"yes, registered under the customers name",yes,0
... >= 200 DM / salary assignments for at least 1 year,36,existing credits paid back duly till now,radio/television,4473,... < 100 DM,... >= 7 years,4,female : divorced/separated/married,none,2,"car or other, not in attribute Savings account/bonds",31,none,k40453,2018/9/20,own,1,skilled employee / official,1,none,yes,0
0 <= ... < 200 DM,6,existing credits paid back duly till now,radio/television,1068,... < 100 DM,... >= 7 years,4,female : divorced/separated/married,none,4,"car or other, not in attribute Savings account/bonds",28,none,M10827,2018/3/8,own,1,skilled employee / official,2,none,yes,0
... < 0 DM,24,critical account/ other credits existing (not at this bank),car (used),6615,... < 100 DM,unemployed,2,female : divorced/separated/married,none,4,unknown / no property,75,none,M56472,2018/8/20,for free,2,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,0
no checking account,18,critical account/ other credits existing (not at this bank),education,1864,100 <= ... < 500 DM,1 <= ... < 4 years,4,female : divorced/separated/married,none,2,real estate,30,none,E21341,2018/11/23,own,2,skilled employee / official,1,none,yes,1
0 <= ... < 200 DM,60,existing credits paid back duly till now,car (new),7408,100 <= ... < 500 DM,... < 1 year,4,female : divorced/separated/married,none,2,building society savings agreement/ life insurance,24,none,F65996,2018/5/12,own,1,management/ self-employed/ highly qualified employee/ officer,1,none,yes,1
no checking account,48,critical account/ other credits existing (not at this bank),car (used),11590,100 <= ... < 500 DM,1 <= ... < 4 years,2,female : divorced/separated/married,none,4,"car or other, not in attribute Savings account/bonds",24,bank,I30242,2018/11/11,rent,2,unskilled - resident,1,none,yes,1
... < 0 DM,24,no credits taken/ all credits paid back duly,furniture/equipment,4110,... < 100 DM,... >= 7 years,3,female : divorced/separated/married,none,4,unknown / no property,23,bank,d85924,2018/8/24,rent,2,skilled employee / official,2,none,yes,1
... < 0 DM,6,critical account/ other credits existing (not at this bank),furniture/equipment,3384,... < 100 DM,1 <= ... < 4 years,1,female : divorced/separated/married,none,4,real estate,44,none,H93199,2018/12/15,rent,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,1
0 <= ... < 200 DM,13,existing credits paid back duly till now,radio/television,2101,... < 100 DM,... < 1 year,2,female : divorced/separated/married,guarantor,4,building society savings agreement/ life insurance,23,none,K49026,2018/8/26,own,1,unskilled - resident,1,none,yes,0
... < 0 DM,15,existing credits paid back duly till now,domestic appliances,1275,unknown/ no savings account,1 <= ... < 4 years,4,female : divorced/separated/married,none,2,"car or other, not in attribute Savings account/bonds",24,none,P71233,2018/7/29,rent,1,skilled employee / official,1,none,yes,1
... < 0 DM,24,existing credits paid back duly till now,furniture/equipment,4169,... < 100 DM,1 <= ... < 4 years,4,female : divorced/separated/married,none,4,building society savings agreement/ life insurance,28,none,v25031,2018/4/18,own,1,skilled employee / official,1,none,yes,0
0 <= ... < 200 DM,10,existing credits paid back duly till now,furniture/equipment,1521,... < 100 DM,1 <= ... < 4 years,4,female : divorced/separated/married,none,2,"car or other, not in attribute Savings account/bonds",31,none,r46017,2018/12/1,own,1,unskilled - resident,1,none,yes,0
0 <= ... < 200 DM,24,critical account/ other credits existing (not at this bank),education,5743,... < 100 DM,... < 1 year,2,female : divorced/separated/married,none,4,unknown / no property,24,none,W95510,2018/12/20,for free,2,skilled employee / official,1,"yes, registered under the customers name",yes,0
... < 0 DM,21,existing credits paid back duly till now,furniture/equipment,3599,... < 100 DM,4 <= ... < 7 years,1,female : divorced/separated/married,none,4,"car or other, not in attribute Savings account/bonds",26,none,g68573,2018/3/5,rent,1,unskilled - resident,1,none,yes,0
0 <= ... < 200 DM,18,existing credits paid back duly till now,radio/television,3213,500 <= ... < 1000 DM,... < 1 year,1,female : divorced/separated/married,none,3,real estate,25,none,s80277,2018/8/8,rent,1,skilled employee / official,1,none,yes,0
0 <= ... < 200 DM,18,existing credits paid back duly till now,business,4439,... < 100 DM,... >= 7 years,1,female : divorced/separated/married,co-applicant,1,real estate,33,bank,H69442,2018/5/19,own,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,0
... >= 200 DM / salary assignments for at least 1 year,10,existing credits paid back duly till now,car (new),3949,... < 100 DM,... < 1 year,1,female : divorced/separated/married,guarantor,1,building society savings agreement/ life insurance,37,none,P47944,2018/10/6,own,1,unskilled - resident,2,none,yes,0
no checking account,15,critical account/ other credits existing (not at this bank),radio/television,1459,... < 100 DM,1 <= ... < 4 years,4,female : divorced/separated/married,none,2,"car or other, not in attribute Savings account/bonds",43,none,M73066,2018/12/15,own,1,unskilled - resident,1,none,yes,0
0 <= ... < 200 DM,13,critical account/ other credits existing (not at this bank),radio/television,882,... < 100 DM,... < 1 year,4,female : divorced/separated/married,guarantor,4,real estate,23,none,u95125,2018/9/25,own,2,skilled employee / official,1,none,yes,0
0 <= ... < 200 DM,24,existing credits paid back duly till now,radio/television,3758,500 <= ... < 1000 DM,unemployed,1,female : divorced/separated/married,none,4,unknown / no property,23,none,A76556,2018/5/8,rent,1,unemployed/ unskilled - non-resident,1,none,yes,0
no checking account,6,delay in paying off in the past,business,1743,100 <= ... < 500 DM,1 <= ... < 4 years,1,female : divorced/separated/married,none,2,real estate,34,none,l45598,2018/3/9,own,2,unskilled - resident,1,none,yes,0
0 <= ... < 200 DM,9,critical account/ other credits existing (not at this bank),education,1136,... >= 1000 DM,... >= 7 years,4,female : divorced/separated/married,none,3,unknown / no property,32,none,b55626,2018/3/18,for free,2,skilled employee / official,2,none,yes,1
no checking account,9,existing credits paid back duly till now,domestic appliances,1236,... < 100 DM,... < 1 year,1,female : divorced/separated/married,none,4,real estate,23,none,O59305,2018/4/18,rent,1,skilled employee / official,1,"yes, registered under the customers name",yes,0
0 <= ... < 200 DM,9,existing credits paid back duly till now,furniture/equipment,959,... < 100 DM,1 <= ... < 4 years,1,female : divorced/separated/married,none,2,"car or other, not in attribute Savings account/bonds",29,none,E32322,2018/11/13,own,1,skilled employee / official,1,none,no,1
no checking account,18,critical account/ other credits existing (not at this bank),car (used),3229,unknown/ no savings account,unemployed,2,female : divorced/separated/married,none,4,unknown / no property,38,none,x24816,2018/11/12,own,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,0
... < 0 DM,12,no credits taken/ all credits paid back duly,radio/television,6199,... < 100 DM,1 <= ... < 4 years,4,female : divorced/separated/married,none,2,building society savings agreement/ life insurance,28,none,s57949,2018/5/26,rent,2,skilled employee / official,1,"yes, registered under the customers name",yes,1
no checking account,10,existing credits paid back duly till now,education,727,500 <= ... < 1000 DM,... >= 7 years,4,female : divorced/separated/married,none,4,unknown / no property,46,none,h89809,2018/4/26,for free,1,skilled employee / official,1,"yes, registered under the customers name",yes,0
0 <= ... < 200 DM,24,existing credits paid back duly till now,car (new),1246,... < 100 DM,... < 1 year,4,female : divorced/separated/married,none,2,real estate,23,stores,P28342,2018/5/4,own,1,unskilled - resident,1,none,yes,1
no checking account,12,critical account/ other credits existing (not at this bank),radio/television,2331,unknown/ no savings account,... >= 7 years,1,female : divorced/separated/married,co-applicant,4,real estate,49,none,i28403,2018/1/6,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,0
no checking account,36,delay in paying off in the past,radio/television,4463,... < 100 DM,1 <= ... < 4 years,4,female : divorced/separated/married,none,2,"car or other, not in attribute Savings account/bonds",26,none,Y92325,2018/7/23,own,2,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,1
no checking account,12,existing credits paid back duly till now,radio/television,776,... < 100 DM,1 <= ... < 4 years,4,female : divorced/separated/married,none,2,real estate,28,none,n23860,2018/6/24,own,1,skilled employee / official,1,none,yes,0
... < 0 DM,30,existing credits paid back duly till now,furniture/equipment,2406,... < 100 DM,4 <= ... < 7 years,4,female : divorced/separated/married,none,4,real estate,23,none,p12539,2018/4/9,rent,1,skilled employee / official,1,none,yes,1
0 <= ... < 200 DM,18,existing credits paid back duly till now,education,1239,unknown/ no savings account,1 <= ... < 4 years,4,male : single,none,4,unknown / no property,61,none,A52442,2018/4/15,for free,1,skilled employee / official,1,none,yes,0
... >= 200 DM / salary assignments for at least 1 year,12,existing credits paid back duly till now,radio/television,3399,unknown/ no savings account,... >= 7 years,2,male : single,none,3,"car or other, not in attribute Savings account/bonds",37,none,h73423,2018/1/18,own,1,management/ self-employed/ highly qualified employee/ officer,1,none,yes,0
... >= 200 DM / salary assignments for at least 1 year,12,delay in paying off in the past,car (new),2247,... < 100 DM,1 <= ... < 4 years,2,male : single,none,2,"car or other, not in attribute Savings account/bonds",36,stores,o44538,2018/7/5,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,0
no checking account,6,existing credits paid back duly till now,furniture/equipment,1766,... < 100 DM,1 <= ... < 4 years,1,male : single,none,2,building society savings agreement/ life insurance,21,none,j99116,2018/10/12,rent,1,skilled employee / official,1,none,yes,0
... < 0 DM,18,existing credits paid back duly till now,furniture/equipment,2473,... < 100 DM,unemployed,4,male : single,none,1,"car or other, not in attribute Savings account/bonds",25,none,z86909,2018/2/6,own,1,unemployed/ unskilled - non-resident,1,none,yes,1
no checking account,12,existing credits paid back duly till now,business,1542,... < 100 DM,4 <= ... < 7 years,2,male : single,none,4,"car or other, not in attribute Savings account/bonds",36,none,U78116,2018/5/6,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,0
no checking account,18,critical account/ other credits existing (not at this bank),car (used),3850,... < 100 DM,4 <= ... < 7 years,3,male : single,none,1,"car or other, not in attribute Savings account/bonds",27,none,V99122,2018/12/11,own,2,skilled employee / official,1,none,yes,0
... < 0 DM,18,existing credits paid back duly till now,furniture/equipment,3650,... < 100 DM,... < 1 year,1,male : single,none,4,"car or other, not in attribute Savings account/bonds",22,none,s98161,2018/1/31,rent,1,skilled employee / official,1,none,yes,0
... < 0 DM,36,existing credits paid back duly till now,furniture/equipment,3446,... < 100 DM,... >= 7 years,4,male : single,none,2,"car or other, not in attribute Savings account/bonds",42,none,S39749,2018/3/2,own,1,skilled employee / official,2,none,yes,1
0 <= ... < 200 DM,18,existing credits paid back duly till now,furniture/equipment,3001,... < 100 DM,4 <= ... < 7 years,2,male : single,none,4,real estate,40,none,J40124,2018/5/9,rent,1,skilled employee / official,1,none,yes,0
no checking account,36,existing credits paid back duly till now,car (new),3079,unknown/ no savings account,1 <= ... < 4 years,4,male : single,none,4,real estate,36,none,J80088,2018/2/17,own,1,skilled employee / official,1,none,yes,0
no checking account,18,critical account/ other credits existing (not at this bank),radio/television,6070,... < 100 DM,... >= 7 years,3,male : single,none,4,"car or other, not in attribute Savings account/bonds",33,none,p55542,2018/1/26,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,0
no checking account,10,critical account/ other credits existing (not at this bank),furniture/equipment,2146,... < 100 DM,... < 1 year,1,male : single,none,3,real estate,23,none,X70998,2018/2/26,rent,2,skilled employee / official,1,none,yes,0
no checking account,60,critical account/ other credits existing (not at this bank),car (new),13756,unknown/ no savings account,... >= 7 years,2,male : single,none,4,unknown / no property,63,bank,Y89852,2018/6/25,for free,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,0
0 <= ... < 200 DM,60,all credits at this bank paid back duly,others,14782,100 <= ... < 500 DM,... >= 7 years,3,male : single,none,4,unknown / no property,60,bank,t88766,2018/10/17,for free,2,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,1
... < 0 DM,48,all credits at this bank paid back duly,business,7685,... < 100 DM,4 <= ... < 7 years,2,male : single,guarantor,4,"car or other, not in attribute Savings account/bonds",37,none,O77535,2018/9/14,rent,1,skilled employee / official,1,none,yes,1
